cap,ma,tick_confirm,tp_sl,cooldown_sec,ban_last_sec,haircut,trades,train_pnl,train_mdd,train_score,val_pnl
0.5,120,2,0.15/0.05,30,80,0.01,1003,-117.40206568986716,-119.68502566925433,-177.24457852449433,-19.3218014964022
0.5,120,2,0.15/0.05,30,100,0.01,986,-114.75789568986717,-117.04085566925437,-173.27832352449434,-18.433501496402197
0.5,120,2,0.15/0.05,60,none,0.01,802,-77.14724834358265,-77.14724834358263,-115.72087251537397,-12.911780451626083
0.5,120,2,0.15/0.05,60,80,0.01,764,-69.31452834358267,-69.31452834358265,-103.97179251537399,-11.341280451626083
0.5,120,2,0.15/0.05,60,100,0.01,758,-68.47712834358266,-68.47712834358263,-102.71569251537397,-11.341280451626083
0.5,120,2,0.15/0.05,90,none,0.01,678,-96.15689921849224,-96.15689921849221,-144.23534882773833,-0.5712403010840537
0.5,120,2,0.15/0.05,90,80,0.01,644,-90.72306921849223,-90.72306921849221,-136.08460382773833,-2.073440301084053
0.5,120,2,0.15/0.05,90,100,0.01,637,-87.53684921849224,-87.53684921849222,-131.30527382773835,-2.073440301084053
0.5,120,2,none,60,100,0.01,688,-8.955367563858598,-32.334119156009656,-25.122427141863426,-4.637768511327576
0.5,120,2,none,90,none,0.01,632,-27.902046658029796,-49.21897737655958,-52.511535346309586,-6.262961196606442
0.5,120,2,none,90,80,0.01,600,-27.6600666580298,-51.46657737655956,-53.393355346309576,-5.679461196606443
0.5,120,2,none,90,100,0.01,591,-30.566046658029794,-50.91515737655956,-56.02362534630957,-5.185961196606442
0.5,120,2,0.15/0.05,0,none,0.01,1656,-160.83851952620694,-160.83851952620705,-241.25777928931046,-44.03867209857031
0.5,120,2,0.15/0.05,0,80,0.01,1563,-155.371369526207,-155.37136952620702,-233.05705428931049,-40.5169929940927
0.5,120,2,0.15/0.05,0,100,0.01,1529,-145.67682952620697,-145.676829526207,-218.5152442893105,-37.983434785137476
0.5,120,2,0.15/0.05,30,none,0.01,1058,-123.80044568986716,-123.80044568986716,-185.70066853480074,-20.773959705357417
0.5,120,2,none,0,none,0.01,1415,-58.930503991774344,-67.13541399143121,-92.49821098748995,-33.125096421775325
0.5,120,2,none,0,80,0.01,1336,-50.12868399177436,-66.59586488695365,-83.42661643525119,-27.70529642177533
0.5,120,2,none,0,100,0.01,1315,-60.35000399177436,-71.58649399143123,-96.14325098748998,-26.037217317297717
0.5,120,2,none,30,none,0.01,927,-37.00621580566549,-63.76498750395256,-68.88870955764177,-19.677626869536525
0.5,120,2,none,30,80,0.01,880,-28.538415805665494,-60.21363750395258,-58.645234557641785,-17.031247765058918
0.5,120,2,none,30,100,0.01,869,-26.350515805665502,-53.31793750395259,-53.0094845576418,-15.846847765058918
0.5,120,2,none,60,none,0.01,725,-11.868107563858594,-34.72058926214568,-29.228402194931434,-8.083568511327577
0.5,120,2,none,60,80,0.01,692,-4.0992675638586,-30.68418928275851,-19.441362205237855,-4.637768511327577
0.5,120,2,0.10/0.10,0,none,0.01,1642,-178.5404813359321,-180.70891133593213,-268.8949370038982,-38.224818365938745
0.5,120,2,0.10/0.10,0,80,0.01,1552,-173.47248133593212,-175.64091133593217,-261.2929370038982,-33.10111836593874
0.5,120,2,0.10/0.10,0,100,0.01,1520,-170.87110133593214,-173.23693133593224,-257.4895670038983,-34.50573926146113
0.5,120,2,0.10/0.10,30,none,0.01,1077,-140.31691479498892,-140.31691479498895,-210.4753721924834,-22.5965534392773
0.5,120,2,0.10/0.10,30,80,0.01,1022,-133.00870479498894,-133.00870479498892,-199.51305719248342,-21.84829523032208
0.5,120,2,0.10/0.10,30,100,0.01,1004,-129.1311747949889,-129.13117479498897,-193.6967621924834,-22.068516125844464
0.5,120,2,0.10/0.10,60,none,0.01,812,-93.53244833327624,-95.64766833327623,-141.35628249991436,-9.95011313948155
0.5,120,2,0.10/0.10,60,80,0.01,775,-84.01445833327622,-86.04357833327629,-127.03624749991437,-8.379613139481549
0.5,120,0,0.15/0.05,30,80,0.01,852,-73.62461745514591,-76.91331745514593,-112.08127618271888,-5.615717617093484
0.5,120,0,0.15/0.05,30,100,0.01,842,-71.0225674551459,-74.31126745514592,-108.17820118271887,-5.329438512615869
0.5,120,0,0.15/0.05,60,none,0.01,733,-69.99412743904216,-71.8968274390422,-105.94254115856326,-2.417284781272592
0.5,120,0,0.15/0.05,60,80,0.01,689,-63.65096743904218,-65.16036743904216,-96.23115115856325,-1.537684781272592
0.5,120,0,0.15/0.05,60,100,0.01,682,-61.95381743904217,-63.463217439042175,-93.68542615856326,-0.945484781272592
0.5,120,0,0.15/0.05,90,none,0.01,631,-65.7852192178481,-67.68791921784806,-99.62917882677212,3.639001637926153
0.5,120,0,0.15/0.05,90,80,0.01,594,-56.80892921784809,-57.82482921784806,-85.72134382677211,4.222501637926154
0.5,120,0,0.15/0.05,90,100,0.01,588,-55.2193792178481,-56.23527921784808,-83.33701882677214,4.222501637926154
0.5,120,0,0.10/0.05,30,80,0.01,867,-92.1031474551459,-95.57492745514595,-139.89061118271889,-5.8032967215710975
0.5,120,0,0.10/0.05,30,100,0.01,856,-90.38939745514591,-93.86117745514596,-137.31998618271888,-5.517017617093485
0.5,120,0,0.10/0.05,60,none,0.01,748,-85.58691743904217,-90.3599774390422,-130.76690615856327,-2.8022638857502042
0.5,120,0,0.10/0.05,60,80,0.01,703,-74.40745743904216,-78.15676743904217,-113.48584115856325,-1.9226638857502043
0.5,120,0,0.10/0.05,60,100,0.01,694,-72.03510743904216,-75.78441743904217,-109.92731615856326,-3.0083638857502044
0.5,120,0,0.10/0.05,90,none,0.01,642,-83.84571921784809,-85.42050921784812,-126.55597382677215,1.715310741115466
0.5,120,0,0.10/0.05,90,80,0.01,604,-73.2902292178481,-74.91436921784808,-110.74741382677213,3.088410741115466
0.5,120,0,0.10/0.05,90,100,0.01,597,-72.90077921784808,-74.52491921784808,-110.16323882677213,3.088410741115466
0.5,120,0,none,0,none,0.01,1469,-21.081923116864758,-65.72300755097552,-53.94342689235252,-26.524372394501185
0.5,120,0,none,0,80,0.01,1376,-20.652713116864767,-47.692927550975554,-44.499176892352544,-19.900814185545958
0.5,120,0,none,0,100,0.01,1354,-37.38361311686478,-58.69651755290799,-66.73187189331878,-18.232735081068345
0.5,120,0,none,30,none,0.01,827,-31.067816526771836,-55.24748914119412,-58.6915610973689,-9.2839938844619
0.5,120,0,none,30,80,0.01,778,-36.104526526771835,-48.110559141194116,-60.15980609736889,-4.516093884461901
0.5,120,0,none,30,100,0.01,770,-37.92452652677184,-46.884959141194116,-61.3670060973689,-4.516093884461901
0.5,120,0,none,60,none,0.01,671,-25.980016522906944,-60.147659137329235,-56.05384609157156,-9.741156571029068
0.5,120,0,none,60,80,0.01,635,-32.23120652290696,-51.170949137329224,-57.81668109157157,-6.15765657102907
0.5,120,0,none,60,100,0.01,629,-30.334056522906952,-55.41076826241968,-58.03944065411679,-6.15765657102907
0.5,120,0,none,90,none,0.01,595,-17.206958448430434,-48.883390021256965,-41.64865345905892,-0.3408774665514609
0.5,120,0,none,90,80,0.01,558,-21.326898448430434,-47.98266002125696,-45.318228459058915,1.2198016379261514
0.5,120,0,none,90,100,0.01,553,-20.080198448430433,-47.72296002125696,-43.94167845905891,1.506080742403764
0.5,120,0,0.15/0.05,0,none,0.01,1568,-117.99324132691399,-135.36516566023616,-185.67582415703208,-24.65040970793402
0.5,120,0,0.15/0.05,0,80,0.01,1470,-105.98885132691402,-124.54223566023616,-168.2599691570321,-20.237251498978797
0.5,120,0,0.15/0.05,0,100,0.01,1443,-109.59820132691402,-127.73428566023613,-173.4653441570321,-18.569172394501184
0.5,120,0,0.15/0.05,30,none,0.01,910,-74.09866745514591,-82.27966827852345,-115.23850159440764,-7.383617617093483
0.5,120,2,0.10/0.05,30,80,0.01,1048,-133.27138482590817,-133.27138482590823,-199.90707723886229,-12.599957916889247
0.5,120,2,0.10/0.05,30,100,0.01,1031,-131.3181148259082,-131.31811482590822,-196.9771722388623,-11.711657916889246
0.5,120,2,0.10/0.05,60,none,0.01,825,-101.67431834358266,-101.67431834358264,-152.51147751537397,-13.88829224395916
0.5,120,2,0.10/0.05,60,80,0.01,787,-93.23952834358266,-93.23952834358268,-139.859292515374,-12.31779224395916
0.5,120,2,0.10/0.05,60,100,0.01,779,-92.25042834358267,-92.25042834358266,-138.375642515374,-11.824292243959158
0.5,120,2,0.10/0.05,90,none,0.01,688,-98.34020832296983,-98.34020832296981,-147.51031248445474,-5.595119405561667
0.5,120,2,0.10/0.05,90,80,0.01,652,-94.09077832296984,-94.0907783229698,-141.13616748445475,-5.320719405561667
0.5,120,2,0.10/0.05,90,100,0.01,644,-90.62415832296983,-90.6241583229698,-135.93623748445475,-5.320719405561667
0.5,120,2,0.10/0.10,60,100,0.01,766,-83.15405833327625,-83.15405833327623,-124.73108749991437,-7.886113139481549
0.5,120,2,0.10/0.10,90,none,0.01,685,-98.93370832296984,-98.93370832296982,-148.40056248445475,-8.161319405561668
0.5,120,2,0.10/0.10,90,80,0.01,649,-97.25047832296983,-97.25047832296981,-145.87571748445473,-7.1960194055616675
0.5,120,2,0.10/0.10,90,100,0.01,641,-93.88255832296983,-93.88255832296977,-140.8238374844547,-7.1960194055616675
0.5,120,2,0.10/0.05,0,none,0.01,1806,-201.8708304745497,-206.56584040240475,-305.15375067575206,-37.98987762482328
0.5,120,2,0.10/0.05,0,80,0.01,1706,-195.6860004745497,-200.3810104024048,-295.8765056757521,-34.369498520345665
0.5,120,2,0.10/0.05,0,100,0.01,1669,-190.99526047454972,-195.6902704024048,-288.8403956757521,-34.51384031139044
0.5,120,2,0.10/0.05,30,none,0.01,1103,-139.67819482590818,-140.98311478468253,-210.16975221824944,-13.259337021366859
0.5,120,0,0.10/0.10,60,100,0.01,689,-68.01898654351979,-68.01898654351974,-102.02847981527967,-3.492042990227816
0.5,120,0,0.10/0.10,90,none,0.01,636,-78.4172683223257,-78.41726832232567,-117.62590248348853,1.2218107411154655
0.5,120,0,0.10/0.10,90,80,0.01,600,-67.3584083223257,-67.3584083223257,-101.03761248348854,3.0884107411154655
0.5,120,0,0.10/0.10,90,100,0.01,593,-66.9689583223257,-66.9689583223257,-100.45343748348856,3.0884107411154655
0.5,120,0,0.10/0.05,0,none,0.01,1573,-150.2958504313916,-152.33722043139167,-226.46446064708744,-20.672409707934015
0.5,120,0,0.10/0.05,0,80,0.01,1474,-133.4851604313916,-134.10736043139164,-200.5388406470874,-18.03585149897879
0.5,120,0,0.10/0.05,0,100,0.01,1447,-136.512131326914,-137.1343313269141,-205.07929699037103,-18.045672394501178
0.5,120,0,0.10/0.05,30,none,0.01,925,-97.4134974551459,-97.8382974551459,-146.33264618271886,-7.571196721571098
0.5,120,3,none,0,none,0.01,1228,-54.70753487505788,-68.94514573931792,-89.18010774471685,-27.448796919287773
0.5,120,3,none,0,80,0.01,1165,-44.43004487505789,-64.72916488502119,-76.79462731756848,-22.424917814810158
0.5,120,3,none,0,100,0.01,1151,-50.27214487505789,-65.6712648850212,-83.10777731756849,-20.056117814810158
0.5,120,3,none,30,none,0.01,855,-41.809375702944465,-70.67557575413343,-77.14716358001118,-21.055668660581308
0.5,120,3,none,30,80,0.01,816,-23.053965702944474,-59.317156649655864,-52.71254402777241,-18.992789556103695
0.5,120,3,none,30,100,0.01,806,-21.651765702944473,-53.40845664965586,-48.355994027772404,-17.018789556103695
0.5,120,3,none,60,none,0.01,679,-9.58365476426399,-36.83120659619134,-27.99925806235966,-3.63573468048181
0.5,120,3,none,60,80,0.01,650,1.0902352357360119,-32.801046596191334,-15.310288062359655,-0.5858555760041977
0.5,120,0,0.10/0.10,0,none,0.01,1548,-142.06676953586924,-142.61663953586918,-213.37508930380383,-21.156088812411628
0.5,120,0,0.10/0.10,0,80,0.01,1451,-123.53830953586923,-124.08817953586926,-185.58239930380387,-18.0260306034564
0.5,120,0,0.10/0.10,0,100,0.01,1425,-126.04178043139163,-126.04178043139166,-189.06267064708746,-18.03585149897879
0.5,120,0,0.10/0.10,30,none,0.01,912,-98.98417655769107,-99.44014655769105,-148.7042498365366,-8.064696721571098
0.5,120,0,0.10/0.10,30,80,0.01,856,-92.05475655769106,-92.51072655769107,-138.31011983653661,-5.8032967215710975
0.5,120,0,0.10/0.10,30,100,0.01,845,-89.84750655769108,-90.30347655769106,-134.9992448365366,-5.517017617093485
0.5,120,0,0.10/0.10,60,none,0.01,741,-83.25856654351978,-84.88153654351977,-125.69933481527966,-3.779442990227816
0.5,120,0,0.10/0.10,60,80,0.01,698,-70.3913365435198,-72.01430654351978,-106.39848981527969,-2.4063429902278157
0.5,120,3,none,60,100,0.01,646,-4.15676476426399,-26.92056565978641,-17.617047594157192,-0.09235557600419675
0.5,120,3,none,90,none,0.01,591,-7.119795646903366,-30.13103822956803,-22.18531476168738,-2.8076403010840583
0.5,120,3,none,90,80,0.01,562,-5.900455646903373,-29.27961822956803,-20.54026476168739,-2.4128403010840582
0.5,120,3,none,90,100,0.01,557,-4.556935646903376,-28.886118229568027,-18.99999476168739,-1.919340301084058
0.5,120,3,0.15/0.05,0,none,0.01,1455,-147.22663039918407,-153.77137039918404,-224.1123155987761,-36.287536425640226
0.5,120,3,0.15/0.05,0,80,0.01,1373,-138.1781603991841,-142.35410039918412,-209.35521059877615,-31.668278216685007
0.5,120,3,0.15/0.05,0,100,0.01,1348,-132.49153039918411,-136.6674703991841,-200.82526559877618,-31.098899112207395
0.5,120,3,0.15/0.05,30,none,0.01,973,-116.25338300329997,-119.35400300329997,-175.93038450494996,-17.38738507849175
0.5,120,3,0.15/0.05,30,80,0.01,927,-106.80797300329999,-106.80797300330002,-160.21195950495002,-15.620605974014138
0.5,120,3,0.15/0.05,30,100,0.01,913,-104.5483430033,-104.5483430033,-156.82251450495,-14.23880597401414
0.5,120,3,0.15/0.05,60,none,0.01,743,-64.38642385502013,-68.82728383440731,-98.80006577222377,-3.8605595561036985
0.5,120,3,0.15/0.05,60,80,0.01,711,-53.621933855020146,-55.20997383440732,-81.2269207722238,-2.8833804516260866
0.5,120,3,0.15/0.05,60,100,0.01,704,-54.98343385502015,-56.571473834407314,-83.26917077222382,-2.3898804516260865
0.5,120,3,0.15/0.05,90,none,0.01,634,-86.5662165312809,-89.45851653128086,-131.29547479692133,1.3779641765278834
0.5,120,3,0.15/0.05,90,80,0.01,607,-76.58337653128089,-76.5833765312809,-114.87506479692135,1.7727641765278839
0.5,120,3,0.15/0.05,90,100,0.01,600,-75.7959565312809,-75.7959565312809,-113.69393479692134,2.266264176527884
0.5,120,3,0.10/0.05,30,80,0.01,962,-136.25069212066063,-140.95143212066074,-206.726408180991,-11.269771497690499
0.5,120,3,0.10/0.05,30,100,0.01,947,-134.08976212066062,-138.79050212066073,-203.485013180991,-9.8879714976905
0.5,120,3,0.10/0.05,60,none,0.01,764,-91.93092385502015,-92.55429385502009,-138.2080707825302,-2.6165668708248364
0.5,120,3,0.10/0.05,60,80,0.01,731,-80.74163385502015,-81.36500385502013,-121.42413578253021,-0.5536877663472243
0.5,120,3,0.10/0.05,60,100,0.01,725,-82.41743385502015,-83.04080385502012,-123.93783578253021,-0.060187766347224225
0.5,120,3,0.10/0.05,90,none,0.01,642,-99.57379563640268,-101.6120856364026,-150.37983845460397,4.311805967572657
0.5,120,3,0.10/0.05,90,80,0.01,614,-88.30785563640268,-90.38562563640264,-133.500668454604,4.706605967572657
0.5,120,3,0.10/0.05,90,100,0.01,607,-85.63083563640268,-87.70860563640262,-129.485138454604,5.200105967572657
0.5,120,3,0.10/0.10,0,none,0.01,1430,-189.8145904281709,-189.81459042817082,-284.7218856422563,-35.630052843550686
0.5,120,3,0.10/0.10,0,80,0.01,1356,-177.6590704281709,-178.34517042817092,-266.83165564225635,-32.40559463459546
0.5,120,3,0.10/0.10,0,100,0.01,1328,-168.5285404281709,-171.0899404281709,-254.07351064225637,-28.865394634595457
0.5,120,3,0.10/0.10,30,none,0.01,989,-145.4158021200165,-145.9006021200164,-218.3661031800247,-20.833087915600952
0.5,120,3,0.10/0.10,30,80,0.01,944,-128.6482921200165,-130.61359212001645,-193.95508818002472,-18.770208811123336
0.5,120,3,0.10/0.10,30,100,0.01,928,-127.69189212001649,-129.83719212001648,-192.61048818002473,-18.496929706645723
0.5,120,3,0.10/0.10,60,none,0.01,763,-91.2398938556643,-91.63859385566428,-137.05919078349643,-0.632745975302448
0.5,120,3,0.10/0.10,60,80,0.01,729,-82.3507038556643,-84.22990385566429,-124.46565578349646,1.617712233652776
0.5,120,3,0.10/0.10,60,100,0.01,723,-83.3356038556643,-86.56637475118671,-126.61879123125766,2.1112122336527754
0.5,120,3,0.10/0.10,90,none,0.01,641,-96.61409563640267,-96.61409563640265,-144.921143454604,3.324805967572659
0.5,120,3,0.10/0.10,90,80,0.01,613,-90.77665563640267,-90.77665563640265,-136.164983454604,3.719605967572659
0.5,120,3,0.10/0.10,90,100,0.01,606,-88.09963563640268,-88.09963563640265,-132.14945345460401,4.213105967572659
0.5,120,3,0.10/0.05,0,none,0.01,1581,-204.1380904307474,-204.1380904307475,-306.2071356461212,-39.36744836593874
0.5,120,3,0.10/0.05,0,80,0.01,1497,-187.53627043074746,-187.53627043074746,-281.3044056461212,-35.74819015698351
0.5,120,3,0.10/0.05,0,100,0.01,1463,-179.6733404307475,-179.67334043074743,-269.5100106461212,-33.513911052505904
0.5,120,3,0.10/0.05,30,none,0.01,1007,-152.72210212066065,-152.7221021206606,-229.08315318099096,-13.036550602168111
0.5,200,2,none,0,none,0.01,887,-24.057318304182694,-49.035761886272255,-48.57519924731882,-35.18448214316837
0.5,200,2,none,0,80,0.01,832,-25.162708304182686,-48.558240207911815,-49.44182840813859,-30.67374482973553
0.5,200,2,none,0,100,0.01,816,-38.2151083041827,-60.90518188627227,-68.66769924731884,-28.12718662078031
0.5,200,2,none,30,none,0.01,589,-20.712201822501328,-43.56084017506014,-42.4926219100314,-26.206104679193505
0.5,200,2,none,30,80,0.01,556,-17.008581822501327,-38.34895017506015,-36.183056910031404,-23.955646470238282
0.5,200,2,none,30,100,0.01,548,-16.272581822501333,-32.97990017506016,-32.76253191003141,-23.06734647023828
0.5,200,2,none,60,none,0.01,464,24.730958197467338,-23.843970030919248,12.808973182007714,-24.39704746526316
0.5,200,2,none,60,80,0.01,439,18.727918197467343,-23.843970030919248,6.805933182007719,-24.39704746526316
0.5,200,2,0.15/0.05,30,80,0.01,643,-62.06526924812317,-66.38353920689747,-95.2570388515719,-15.065066720282799
0.5,200,2,0.15/0.05,30,100,0.01,631,-60.93009924812318,-65.83796920689747,-93.84908385157192,-14.1767667202828
0.5,200,2,0.15/0.05,60,none,0.01,528,-36.90476921527149,-36.904769215271486,-55.357153822907236,-11.98439209341713
0.5,200,2,0.15/0.05,60,80,0.01,502,-34.17974921527149,-35.95882919465866,-52.15916381260082,-11.98439209341713
0.5,200,2,0.15/0.05,60,100,0.01,492,-31.495849215271498,-35.44372919465866,-49.21771381260083,-12.89551298893952
0.5,200,2,0.15/0.05,90,none,0.01,445,-33.651429194658675,-34.76477999999997,-51.03381919465866,-14.282705674218384
0.5,200,2,0.15/0.05,90,80,0.01,423,-33.44896919465868,-34.76206919465865,-50.830003791988005,-13.022426569740773
0.5,200,2,0.15/0.05,90,100,0.01,415,-32.48624919465868,-34.00532917404583,-49.4889137816816,-12.726326569740774
0.5,200,2,none,60,100,0.01,432,7.68601819746733,-56.827780031563364,-20.72787181831435,-23.715968360785546
0.5,200,2,none,90,none,0.01,404,13.838818200043924,-68.43023002061281,-20.37629681026248,-16.440868360785547
0.5,200,2,none,90,80,0.01,382,0.8662782000439222,-63.25462002061279,-30.761031810262473,-16.055889256307935
