enter_1,stop_drop,take_profit,entry_cap,pnl,mdd,score,janfeb,mar03,W,L,fills
0.8,0.06,0.99,0.9,15.6,-19.64,5.78,24.15,4.35,85,99,398
0.8,0.06,0.98,0.9,14.19,-21.65,3.36,24.45,2.74,87,97,396
0.85,0.1,0.99,0.95,9.49,-12.45,3.26,16.04,-1.79,117,79,398
0.8,0.04,0.99,0.9,11.71,-18.53,2.44,20.25,0.96,70,114,398
0.8,0.04,0.98,0.9,10.71,-19.53,0.94,19.65,0.46,72,112,398
0.85,0.1,0.98,0.9,6.99,-12.35,0.81,13.14,-1.95,100,74,352
0.85,0.1,0.98,0.95,6.82,-12.14,0.75,14.56,-2.49,120,77,398
0.85,0.1,0.99,0.9,6.23,-12.51,-0.03,11.48,-1.25,97,77,352
0.8,0.08,0.98,0.9,8.62,-21.42,-2.09,17.06,2.06,94,90,396
0.8,0.06,0.96,0.9,5.67,-20.63,-4.65,15.51,1.96,89,95,392
0.85,0.1,0.96,0.9,1.36,-12.05,-4.67,8.11,-3.35,105,69,352
0.8,0.06,0.99,0.95,7.26,-25.07,-5.28,18.34,1.43,99,108,444
0.8,0.08,0.99,0.9,6.06,-23.28,-5.58,13.76,3.65,91,93,398
0.8,0.08,0.99,0.95,3.72,-24.64,-8.6,13.97,-0.89,108,99,444
0.8,0.06,0.98,0.95,4.9,-27.12,-8.66,19.43,-0.87,101,106,442
0.8,0.04,0.96,0.9,1.07,-22.24,-10.05,10.02,1.35,72,112,396
0.8,0.08,0.98,0.95,1.91,-26.14,-11.16,12.66,0.21,112,95,442
0.8,0.04,0.99,0.95,1.58,-25.58,-11.21,14.27,-3.58,81,126,444
0.85,0.06,0.99,0.9,-3.66,-16.59,-11.96,3.8,-1.76,75,99,352
0.8,0.1,0.98,0.9,-0.59,-23.43,-12.31,8.25,1.06,98,86,396
0.85,0.1,0.96,0.95,-4.6,-16.2,-12.7,2.6,-4.09,114,71,396
0.85,0.06,0.98,0.9,-4.52,-16.56,-12.8,3.54,-2.36,77,97,352
0.85,0.08,0.99,0.9,-4.87,-16.31,-13.03,1.98,-2.85,85,89,352
0.8,0.1,0.99,0.95,-1.62,-23.03,-13.14,4.52,0.32,117,90,444
0.8,0.04,0.98,0.95,0.02,-26.83,-13.4,13.06,-3.78,84,123,444
0.85,0.08,0.98,0.9,-5.81,-16.25,-13.94,1.74,-3.45,87,87,352
0.8,0.1,0.99,0.9,-2.35,-23.89,-14.3,6.55,1.35,96,88,398
0.85,0.08,0.99,0.95,-6.96,-16.89,-15.41,2.69,-5.49,102,95,398
0.8,0.08,0.96,0.9,-2.72,-27.13,-16.29,10.83,0.25,96,88,390
0.85,0.06,0.99,0.95,-7.98,-17.48,-16.72,3.38,-6.35,90,107,398
0.85,0.08,0.96,0.9,-8.34,-16.95,-16.82,-0.59,-4.65,94,80,352
0.85,0.08,0.98,0.95,-10.03,-17.44,-18.75,0.41,-5.89,104,93,398
0.85,0.06,0.96,0.9,-9.75,-18.96,-19.23,-0.49,-3.56,83,91,352
0.85,0.06,0.98,0.95,-10.52,-17.8,-19.42,1.38,-6.65,92,105,398
0.85,0.08,0.96,0.95,-10.5,-18.0,-19.5,-1.3,-4.89,102,83,396
0.75,0.06,0.96,0.9,-10.61,-20.02,-20.62,-5.27,-2.14,88,99,458
0.8,0.1,0.98,0.95,-6.64,-28.44,-20.86,4.61,-1.09,119,88,442
0.8,0.1,0.96,0.9,-8.33,-26.24,-21.45,5.22,-2.15,103,81,390
0.75,0.06,0.98,0.9,-10.59,-24.23,-22.71,-1.54,-1.85,84,103,464
0.8,0.04,0.96,0.95,-8.48,-28.98,-22.97,4.51,-3.28,79,118,440
0.75,0.06,0.99,0.9,-11.87,-23.83,-23.79,-6.18,0.26,82,105,466
0.8,0.08,0.96,0.95,-9.89,-28.79,-24.29,3.31,-0.79,104,92,438
0.8,0.06,0.96,0.95,-10.38,-30.78,-25.77,3.31,0.52,95,102,438
0.75,0.04,0.99,0.9,-14.25,-24.02,-26.26,-1.61,0.66,66,121,470
0.8,0.1,0.96,0.95,-12.33,-29.69,-27.18,1.17,-2.29,110,86,436
0.85,0.04,0.99,0.9,-16.64,-25.27,-29.28,-6.6,-2.84,57,117,352
0.85,0.04,0.98,0.9,-17.6,-24.74,-29.97,-7.06,-3.24,59,115,352
0.75,0.04,0.98,0.9,-17.42,-26.31,-30.58,-2.49,-1.23,66,121,468
0.85,0.04,0.99,0.95,-17.47,-26.4,-30.67,-5.59,-5.67,73,124,398
0.85,0.04,0.96,0.9,-20.14,-25.04,-32.66,-9.2,-4.04,64,110,352
0.85,0.04,0.98,0.95,-19.81,-26.22,-32.92,-7.39,-5.87,75,122,398
0.85,0.06,0.96,0.95,-20.68,-24.98,-33.17,-9.5,-5.37,88,99,396
0.75,0.06,0.98,0.95,-19.56,-28.28,-33.7,-6.36,-7.24,97,112,510
0.75,0.06,0.96,0.95,-22.66,-26.06,-35.69,-13.28,-4.57,93,107,504
0.85,0.04,0.96,0.95,-23.07,-26.87,-36.51,-11.5,-4.76,75,112,396
0.75,0.04,0.96,0.9,-23.61,-27.71,-37.47,-9.78,-1.33,67,120,464
0.75,0.08,0.96,0.9,-22.31,-30.42,-37.52,-14.68,-4.83,91,96,450
0.75,0.04,0.96,0.95,-24.36,-26.56,-37.64,-9.58,-1.87,79,121,508
0.75,0.06,0.99,0.95,-23.18,-30.31,-38.34,-9.35,-3.57,94,115,512
0.75,0.08,0.98,0.9,-21.18,-36.52,-39.44,-12.35,-3.03,88,99,460
0.75,0.08,0.99,0.9,-23.87,-35.22,-41.48,-14.17,-2.33,85,102,460
0.75,0.04,0.99,0.95,-27.2,-33.36,-43.88,-6.44,-3.75,77,133,516
0.75,0.08,0.98,0.95,-26.36,-35.51,-44.12,-15.45,-6.86,106,104,506
0.75,0.04,0.98,0.95,-28.56,-34.41,-45.77,-7.15,-4.05,80,130,516
