enter_1,stop_drop,take_profit,entry_cap,t_enter,pnl,mdd,score,janfeb,mar03,sim,val,W,L,fills
0.85,0.12,0.98,0.9,450,11.79,-10.3,6.64,14.44,-0.95,-1.7,-2.65,109,65,352
0.8,0.06,0.99,0.9,450,15.3,-19.94,5.33,24.15,4.35,-13.2,-8.85,85,99,398
0.8,0.06,0.98,0.9,450,14.39,-21.45,3.66,24.45,2.74,-12.8,-10.06,87,97,396
0.85,0.1,0.99,0.95,450,9.24,-12.7,2.89,16.04,-1.79,-5.01,-6.8,117,79,398
0.85,0.12,0.99,0.95,450,7.69,-12.67,1.35,14.36,-1.46,-5.21,-6.67,125,72,398
0.85,0.12,0.98,0.95,450,7.0,-12.21,0.89,14.91,-2.16,-5.75,-7.91,128,69,398
0.85,0.1,0.98,0.9,450,6.79,-12.25,0.66,13.14,-1.95,-4.4,-6.35,100,74,352
0.85,0.1,0.98,0.95,450,6.62,-12.34,0.45,14.56,-2.49,-5.45,-7.94,120,77,398
0.85,0.12,0.99,0.9,450,7.73,-14.63,0.41,12.15,-0.25,-4.17,-4.42,105,69,352
0.85,0.1,0.99,0.9,450,6.06,-12.41,-0.15,11.48,-1.25,-4.17,-5.42,97,77,352
0.8,0.08,0.98,0.9,450,9.12,-20.92,-1.34,17.06,2.06,-10.0,-7.94,94,90,396
0.9,0.06,0.99,0.95,300,2.87,-8.53,-1.4,1.63,1.81,-0.57,1.24,88,58,294
0.9,0.06,0.99,0.9,300,-0.07,-5.5,-2.82,1.0,1.0,-2.07,-1.07,58,50,216
0.9,0.06,0.98,0.9,300,-0.4,-6.0,-3.4,-0.1,0.5,-0.8,-0.3,59,49,216
0.9,0.06,0.98,0.9,180,-0.55,-6.1,-3.6,-1.7,1.3,-0.15,1.15,33,24,114
0.85,0.06,0.98,0.9,180,-0.33,-7.1,-3.88,-0.5,0.52,-0.35,0.17,42,44,174
0.8,0.08,0.99,0.9,450,7.01,-22.33,-4.16,13.76,3.65,-10.4,-6.75,91,93,398
0.9,0.06,0.98,0.95,300,-0.38,-7.93,-4.35,-0.29,1.11,-1.2,-0.09,91,56,294
