enter_1,stop_drop,take_profit,entry_cap,t_enter,stop_confirm,pnl,mdd,score,janfeb,mar03,sim,val,W,L,fills
0.8,0.06,0.99,0.9,450,0,18.48,-14.74,11.11,21.93,5.05,-8.5,-3.45,78,88,360
0.85,0.12,0.98,0.9,450,0,16.36,-11.3,10.71,15.31,-0.95,2.0,1.05,101,58,322
0.8,0.06,0.98,0.9,450,0,18.09,-16.05,10.06,22.95,3.64,-8.5,-4.86,80,86,358
0.85,0.1,0.98,0.9,450,0,13.05,-9.0,8.55,16.21,-2.26,-0.9,-3.16,93,66,322
0.8,0.08,0.98,0.95,450,0,15.72,-15.73,7.85,19.66,1.82,-5.76,-3.94,102,82,394
0.85,0.1,0.98,0.95,450,0,11.46,-7.6,7.66,15.1,-3.08,-0.56,-3.64,109,68,358
0.85,0.12,0.98,0.9,450,5,13.19,-14.6,5.89,15.04,-2.35,0.5,-1.85,108,50,320
0.85,0.1,0.98,0.9,450,5,12.41,-13.8,5.51,14.45,-1.24,-0.8,-2.04,104,54,320
0.8,0.1,0.98,0.9,450,5,12.18,-14.12,5.12,13.02,0.06,-0.9,-0.84,98,68,348
0.85,0.1,0.99,0.9,450,0,11.36,-12.89,4.91,13.82,-1.66,-0.8,-2.46,90,69,322
0.85,0.12,0.98,0.95,450,5,10.55,-11.39,4.85,14.76,-2.95,-1.26,-4.21,123,53,356
0.85,0.12,0.98,0.95,450,0,9.3,-9.35,4.62,14.55,-1.99,-3.26,-5.25,115,62,358
0.85,0.1,0.98,0.9,180,20,8.56,-8.2,4.46,5.4,2.51,0.65,3.16,60,21,162
0.8,0.06,0.98,0.95,300,20,11.27,-13.89,4.32,7.64,3.03,0.6,3.63,103,51,320
0.85,0.08,0.98,0.9,180,20,8.06,-8.5,3.81,4.9,2.51,0.65,3.16,60,21,162
0.8,0.06,0.98,0.95,450,0,13.0,-18.62,3.69,19.83,1.43,-8.26,-6.83,92,92,394
0.85,0.1,0.99,0.95,450,0,9.71,-12.2,3.61,12.4,-2.48,-0.21,-2.69,105,72,358
0.85,0.12,0.99,0.9,450,0,11.34,-15.82,3.43,12.29,-0.35,-0.6,-0.95,97,62,322
0.8,0.06,0.98,0.9,450,5,12.21,-18.83,2.79,14.35,2.56,-4.7,-2.14,91,75,358
0.85,0.06,0.98,0.9,180,20,6.27,-7.4,2.57,3.8,1.82,0.65,2.47,58,23,162
0.85,0.1,0.98,0.9,450,10,9.9,-15.0,2.4,10.85,-1.15,0.2,-0.95,107,51,320
0.9,0.12,0.98,0.95,180,20,6.15,-7.8,2.25,0.8,3.4,1.95,5.35,65,13,158
0.85,0.12,0.99,0.95,450,0,8.75,-13.3,2.1,13.15,-1.39,-3.01,-4.4,112,65,358
0.8,0.06,0.99,0.95,450,0,11.52,-19.56,1.74,18.19,1.74,-8.41,-6.67,88,96,396
0.8,0.08,0.99,0.95,450,0,11.32,-19.19,1.72,15.02,2.21,-5.91,-3.7,98,86,396
0.85,0.1,0.98,0.95,450,5,6.75,-10.69,1.4,12.17,-2.56,-2.86,-5.42,117,59,356
0.8,0.1,0.99,0.9,450,5,10.14,-17.76,1.26,10.08,0.66,-0.6,0.06,96,69,348
0.9,0.06,0.98,0.9,300,0,3.5,-4.8,1.1,2.5,0.4,0.6,1.0,57,43,200
0.9,0.08,0.98,0.95,180,20,4.15,-6.2,1.05,-0.0,3.4,0.75,4.15,62,16,158
0.8,0.06,0.99,0.9,450,5,9.53,-17.33,0.86,10.87,3.16,-4.5,-1.34,89,77,358
0.8,0.08,0.98,0.9,450,0,9.78,-18.26,0.65,12.95,3.23,-6.4,-3.17,85,81,358
0.9,0.06,0.99,0.9,300,0,2.9,-4.6,0.6,2.8,0.9,-0.8,0.1,55,45,200
0.9,0.12,0.98,0.9,180,20,3.85,-7.7,-0.0,-0.4,1.2,3.05,4.25,41,11,104
0.9,0.1,0.98,0.95,180,20,3.75,-7.6,-0.05,-1.6,3.4,1.95,5.35,64,14,158
0.8,0.08,0.99,0.9,450,0,8.97,-18.05,-0.06,11.73,3.44,-6.2,-2.76,83,83,360
0.9,0.1,0.98,0.9,180,20,3.25,-7.1,-0.3,-0.2,1.2,2.25,3.45,41,11,104
0.9,0.1,0.98,0.95,180,10,2.95,-7.5,-0.8,1.4,3.4,-1.85,1.55,61,17,158
0.9,0.1,0.98,0.95,180,5,2.35,-7.0,-1.15,-1.6,3.4,0.55,3.95,59,19,158
0.85,0.1,0.98,0.95,450,10,5.23,-12.79,-1.17,9.67,-1.98,-2.46,-4.44,120,56,356
0.9,0.12,0.98,0.95,180,5,2.35,-7.3,-1.3,-0.3,3.4,-0.75,2.65,61,17,158
0.85,0.12,0.98,0.9,300,20,7.35,-17.9,-1.6,3.0,2.45,1.9,4.35,89,32,244
0.85,0.06,0.98,0.95,300,20,3.84,-10.89,-1.61,8.94,2.7,-7.8,-5.1,101,43,290
0.85,0.12,0.98,0.9,180,20,4.66,-12.7,-1.69,1.0,2.51,1.15,3.66,61,20,162
0.9,0.06,0.98,0.95,180,10,0.85,-5.1,-1.7,-2.3,3.4,-0.25,3.15,57,21,158
0.9,0.12,0.98,0.95,180,10,2.25,-8.3,-1.9,-0.9,3.4,-0.25,3.15,62,16,158
0.85,0.1,0.99,0.9,180,20,4.61,-13.2,-1.99,1.0,2.71,0.9,3.61,59,22,162
0.9,0.12,0.98,0.95,180,0,1.75,-7.7,-2.1,-1.8,3.4,0.15,3.55,58,20,158
0.9,0.06,0.98,0.95,180,20,1.65,-7.7,-2.2,-2.7,3.4,0.95,4.35,61,17,158
0.9,0.08,0.98,0.9,180,20,1.35,-7.3,-2.3,-2.1,1.2,2.25,3.45,40,12,104
0.85,0.08,0.98,0.9,300,20,4.03,-13.2,-2.57,6.3,3.03,-5.3,-2.27,85,36,244
0.85,0.08,0.99,0.9,180,20,4.11,-13.5,-2.64,0.5,2.71,0.9,3.61,59,22,162
0.85,0.06,0.99,0.95,300,20,3.73,-13.4,-2.97,10.23,3.5,-10.0,-6.5,99,45,290
0.85,0.06,0.98,0.9,180,0,0.37,-6.8,-3.03,-1.1,0.42,1.05,1.47,41,40,164
0.85,0.08,0.98,0.95,180,20,0.56,-7.4,-3.14,-1.8,3.51,-1.15,2.36,69,26,192
0.85,0.1,0.99,0.9,450,5,7.32,-21.15,-3.26,8.56,-0.64,-0.6,-1.24,101,57,320
0.9,0.1,0.98,0.9,180,5,-0.25,-6.5,-3.5,-2.1,1.2,0.65,1.85,37,15,104
0.9,0.06,0.98,0.9,180,0,0.05,-7.4,-3.65,-2.9,1.2,1.75,2.95,31,21,104
0.9,0.06,0.98,0.9,180,20,-0.05,-7.3,-3.7,-3.5,1.2,2.25,3.45,39,13,104
0.85,0.12,0.99,0.95,450,5,5.18,-17.8,-3.72,10.81,-2.35,-3.28,-5.63,119,57,356
0.85,0.1,0.99,0.9,450,10,7.67,-22.79,-3.73,7.72,-0.55,0.5,-0.05,105,53,320
0.85,0.06,0.98,0.9,450,10,3.47,-14.8,-3.93,8.03,-0.36,-4.2,-4.56,92,66,320
