cap,ma_len,tick_confirm,tp_abs,cooldown_sec,no_entry_last_sec,haircut,trades,train_pnl,train_mdd,train_score,val_pnl,total_pnl,sell_fail_rate
0.5,120,0,none,60,100,0.01,394,-18.780049751243787,-24.190049751243784,-30.87507462686568,3.369651741293538,-19.310398009950237,0.218
0.5,120,0,none,90,none,0.01,394,-18.780049751243787,-24.190049751243784,-30.87507462686568,3.369651741293538,-19.310398009950237,0.218
0.5,120,0,none,90,80,0.01,394,-18.780049751243787,-24.190049751243784,-30.87507462686568,3.369651741293538,-19.310398009950237,0.218
0.5,120,0,none,90,100,0.01,394,-18.780049751243787,-24.190049751243784,-30.87507462686568,3.369651741293538,-19.310398009950237,0.218
0.5,120,0,none,60,none,0.01,394,-18.780049751243787,-24.190049751243784,-30.87507462686568,3.369651741293538,-19.310398009950237,0.218
0.5,120,0,none,60,80,0.01,394,-18.780049751243787,-24.190049751243784,-30.87507462686568,3.369651741293538,-19.310398009950237,0.218
0.5,120,0,none,0,none,0.01,3058,-74.42039895140147,-87.81039895140147,-118.3255984271022,-24.83184079601989,-101.31223974742143,0.205
0.5,120,0,none,0,80,0.01,2848,-74.32039895140156,-81.75039895140154,-115.19559842710233,-15.40203980099497,-84.68243875239662,0.208
0.5,120,0,0.95,30,80,0.01,394,-18.79004975124379,-24.19004975124379,-30.885074626865684,3.369651741293538,-19.32039800995024,0.218
0.5,120,0,0.95,30,100,0.01,394,-18.79004975124379,-24.19004975124379,-30.885074626865684,3.369651741293538,-19.32039800995024,0.218
0.5,120,0,0.95,0,none,0.01,3066,-71.62049751243775,-86.69049751243774,-114.96574626865663,-25.272039800995003,-99.94253731343284,0.205
0.5,120,0,0.95,0,80,0.01,2876,-69.13039800995024,-78.5303980099502,-108.39559701492534,-16.33189054726354,-84.5122885572139,0.207
0.5,120,0,0.95,0,100,0.01,2810,-85.43034825870639,-97.13034825870636,-133.99552238805956,-14.8920895522388,-101.97243781094528,0.208
0.5,120,0,0.95,30,none,0.01,394,-18.79004975124379,-24.19004975124379,-30.885074626865684,3.369651741293538,-19.32039800995024,0.218
0.5,120,0,none,0,100,0.01,2800,-89.700498453889,-98.030498453889,-138.7157476808335,-15.921940298507451,-106.08243875239657,0.207
0.5,120,0,none,30,none,0.01,394,-18.780049751243787,-24.190049751243784,-30.87507462686568,3.369651741293538,-19.310398009950237,0.218
0.5,120,0,none,30,80,0.01,394,-18.780049751243787,-24.190049751243784,-30.87507462686568,3.369651741293538,-19.310398009950237,0.218
0.5,120,0,none,30,100,0.01,394,-18.780049751243787,-24.190049751243784,-30.87507462686568,3.369651741293538,-19.310398009950237,0.218
0.5,120,0,0.95,60,none,0.01,394,-18.79004975124379,-24.19004975124379,-30.885074626865684,3.369651741293538,-19.32039800995024,0.218
0.5,120,0,0.95,60,80,0.01,394,-18.79004975124379,-24.19004975124379,-30.885074626865684,3.369651741293538,-19.32039800995024,0.218
0.5,120,0,0.95,90,80,0.01,394,-18.79004975124379,-24.19004975124379,-30.885074626865684,3.369651741293538,-19.32039800995024,0.218
0.5,120,0,0.95,90,100,0.01,394,-18.79004975124379,-24.19004975124379,-30.885074626865684,3.369651741293538,-19.32039800995024,0.218
0.5,120,0,0.98,0,none,0.01,3062,-79.60054726368139,-96.3705472636814,-127.7858208955221,-25.492039800994974,-105.64258706467648,0.203
0.5,120,0,0.98,0,80,0.01,2858,-66.6204975124378,-76.81049751243776,-105.02574626865668,-19.2418407960199,-79.71233830845776,0.207
0.5,120,0,0.95,60,100,0.01,394,-18.79004975124379,-24.19004975124379,-30.885074626865684,3.369651741293538,-19.32039800995024,0.218
0.5,120,0,0.95,90,none,0.01,394,-18.79004975124379,-24.19004975124379,-30.885074626865684,3.369651741293538,-19.32039800995024,0.218
0.5,120,0,0.98,30,80,0.01,394,-18.48004975124379,-24.19004975124379,-30.575074626865685,3.369651741293538,-19.010398009950237,0.218
0.5,120,0,0.98,30,100,0.01,394,-18.48004975124379,-24.19004975124379,-30.575074626865685,3.369651741293538,-19.010398009950237,0.218
0.5,120,0,0.98,0,100,0.01,2808,-83.22034825870637,-95.62034825870636,-131.03052238805955,-15.292089552238778,-100.16243781094522,0.208
0.5,120,0,0.98,30,none,0.01,394,-18.48004975124379,-24.19004975124379,-30.575074626865685,3.369651741293538,-19.010398009950237,0.218
0.5,120,0,0.98,90,80,0.01,394,-18.48004975124379,-24.19004975124379,-30.575074626865685,3.369651741293538,-19.010398009950237,0.218
0.5,120,0,0.98,90,100,0.01,394,-18.48004975124379,-24.19004975124379,-30.575074626865685,3.369651741293538,-19.010398009950237,0.218
0.5,120,0,0.98,60,none,0.01,394,-18.48004975124379,-24.19004975124379,-30.575074626865685,3.369651741293538,-19.010398009950237,0.218
0.5,120,0,0.98,60,80,0.01,394,-18.48004975124379,-24.19004975124379,-30.575074626865685,3.369651741293538,-19.010398009950237,0.218
0.5,120,0,0.98,60,100,0.01,394,-18.48004975124379,-24.19004975124379,-30.575074626865685,3.369651741293538,-19.010398009950237,0.218
0.5,120,0,0.98,90,none,0.01,394,-18.48004975124379,-24.19004975124379,-30.575074626865685,3.369651741293538,-19.010398009950237,0.218
0.5,120,0,0.99,0,100,0.01,2788,-84.26044776119396,-92.36044776119394,-130.4406716417909,-16.20203980099501,-102.41248756218904,0.207
0.5,120,0,0.99,30,none,0.01,394,-18.780049751243787,-24.190049751243784,-30.87507462686568,3.369651741293538,-19.310398009950237,0.218
0.5,120,0,0.99,0,none,0.01,3056,-89.66049751243766,-100.93049751243765,-140.12574626865648,-24.79203980099497,-115.90253731343262,0.203
0.5,120,0,0.99,0,80,0.01,2846,-70.9703980099502,-76.86039800995019,-109.4005970149253,-19.202039800994996,-84.9224378109453,0.208
0.5,120,0,0.99,30,80,0.01,394,-18.780049751243787,-24.190049751243784,-30.87507462686568,3.369651741293538,-19.310398009950237,0.218
0.5,120,0,0.99,30,100,0.01,394,-18.780049751243787,-24.190049751243784,-30.87507462686568,3.369651741293538,-19.310398009950237,0.218
0.5,120,2,none,0,none,0.01,3028,-119.29044870264534,-122.38044870264531,-180.480673053968,-33.90308457711444,-163.77353327975985,0.205
0.5,120,2,none,0,80,0.01,2860,-106.2803989514015,-107.81039895140148,-160.18559842710224,-28.373283582089513,-138.4336825334911,0.208
0.5,120,0,0.99,90,80,0.01,394,-18.780049751243787,-24.190049751243784,-30.87507462686568,3.369651741293538,-19.310398009950237,0.218
0.5,120,0,0.99,90,100,0.01,394,-18.780049751243787,-24.190049751243784,-30.87507462686568,3.369651741293538,-19.310398009950237,0.218
