cap,ma_len,tick_confirm,tp_abs,cooldown_sec,no_entry_last_sec,entry_slope_max,haircut,trades,train_pnl,train_mdd,train_score,mar03_pnl,sim_pnl,val_pnl,total_pnl,sell_fail_rate
0.7,120,0,none,30,80,none,0.01,424,-4.0800497512437826,-18.99004975124378,-13.575074626865673,2.6596517412935317,-9.100000000000003,-6.4403482587064715,-10.520398009950263,0.238
0.7,120,0,none,30,80,0,0.01,418,-7.460000000000006,-16.51000000000001,-15.71500000000001,-3.640298507462685,-5.6000000000000085,-9.240298507462693,-16.700298507462698,0.241
0.7,120,0,none,30,100,none,0.01,424,-4.0800497512437826,-18.99004975124378,-13.575074626865673,2.6596517412935317,-9.100000000000003,-6.4403482587064715,-10.520398009950263,0.238
0.7,120,0,none,30,100,0,0.01,418,-7.460000000000006,-16.51000000000001,-15.71500000000001,-3.640298507462685,-5.6000000000000085,-9.240298507462693,-16.700298507462698,0.241
0.7,120,0,none,30,100,-0.005,0.01,418,-9.960000000000012,-17.210000000000008,-18.565000000000015,-3.6402985074626883,-5.400000000000006,-9.040298507462694,-19.000298507462702,0.241
0.7,120,0,none,30,100,-0.01,0.01,414,-5.800000000000009,-11.410000000000007,-11.505000000000013,-3.9402985074626864,-6.500000000000018,-10.440298507462703,-16.240298507462715,0.223
0.7,120,0,none,30,none,-0.005,0.01,418,-9.960000000000012,-17.210000000000008,-18.565000000000015,-3.6402985074626883,-5.400000000000006,-9.040298507462694,-19.000298507462702,0.241
0.7,120,0,none,30,none,-0.01,0.01,414,-5.800000000000009,-11.410000000000007,-11.505000000000013,-3.9402985074626864,-6.500000000000018,-10.440298507462703,-16.240298507462715,0.223
0.7,120,0,none,30,none,none,0.01,424,-4.0800497512437826,-18.99004975124378,-13.575074626865673,2.6596517412935317,-9.100000000000003,-6.4403482587064715,-10.520398009950263,0.238
0.7,120,0,none,30,none,0,0.01,418,-7.460000000000006,-16.51000000000001,-15.71500000000001,-3.640298507462685,-5.6000000000000085,-9.240298507462693,-16.700298507462698,0.241
0.7,120,0,none,0,none,none,0.01,3488,-117.66050003949184,-135.49050003949185,-185.40575005923776,-26.862139402582542,-17.570000000000107,-44.43213940258265,-162.09263944207453,0.206
0.7,120,0,none,0,none,0,0.01,2616,-106.58025128327299,-106.580251283273,-159.8703769249095,-19.781592138900905,-15.27000000000018,-35.051592138901086,-141.6318434221741,0.213
0.7,120,0,none,30,80,-0.005,0.01,418,-9.960000000000012,-17.210000000000008,-18.565000000000015,-3.6402985074626883,-5.400000000000006,-9.040298507462694,-19.000298507462702,0.241
0.7,120,0,none,30,80,-0.01,0.01,414,-5.800000000000009,-11.410000000000007,-11.505000000000013,-3.9402985074626864,-6.500000000000018,-10.440298507462703,-16.240298507462715,0.223
0.7,120,0,none,0,100,none,0.01,3206,-117.1105489979343,-130.0605489979343,-182.14082349690145,-10.90208965133877,-23.260000000000247,-34.162089651339016,-151.27263864927332,0.205
0.7,120,0,none,0,100,0,0.01,2420,-94.55020073922773,-95.92020073922774,-142.5103011088416,-15.621442885169671,-22.96000000000018,-38.58144288516985,-133.13164362439758,0.214
0.7,120,0,none,0,80,none,0.01,3260,-121.82039974420297,-138.930399744203,-191.28559961630447,-4.602089651338744,-14.76000000000019,-19.362089651338934,-141.18248939554192,0.204
0.7,120,0,none,0,80,0,0.01,2442,-88.64030024171537,-90.01030024171536,-133.64545036257306,-15.241343382682047,-16.770000000000124,-32.01134338268217,-120.65164362439754,0.215
0.7,120,0,none,0,none,-0.005,0.01,2466,-93.04015178078544,-97.71015178078544,-141.89522767117816,-17.84119412895072,-16.380000000000138,-34.221194128950856,-127.2613459097363,0.215
0.7,120,0,none,0,none,-0.01,0.01,2296,-90.16020153202905,-90.16020153202906,-135.2403022980436,-13.541243880194571,-15.580000000000169,-29.12124388019474,-119.2814454122238,0.215
0.7,120,0,none,0,100,-0.005,0.01,2286,-93.86025049047149,-93.8602504904715,-140.79037573570724,-14.801442885169635,-27.680000000000177,-42.48144288516981,-136.3416933756413,0.215
0.7,120,0,none,0,100,-0.01,0.01,2140,-91.68015098798391,-91.68015098798391,-137.52022648197587,-16.7910448752194,-23.88000000000018,-40.67104487521958,-132.3511958632035,0.214
0.7,120,0,none,0,80,-0.005,0.01,2322,-89.16030024171525,-89.16030024171525,-133.74045036257286,-18.331293631438314,-18.080000000000126,-36.41129363143844,-125.57159387315369,0.216
0.7,120,0,none,0,80,-0.01,0.01,2166,-81.41025049047158,-81.41025049047158,-122.11537573570737,-13.400995123975619,-16.98000000000019,-30.380995123975808,-111.79124561444738,0.214
0.7,120,0,none,60,none,none,0.01,424,-4.0800497512437826,-18.99004975124378,-13.575074626865673,2.6596517412935317,-9.100000000000003,-6.4403482587064715,-10.520398009950263,0.238
0.7,120,0,none,60,none,0,0.01,418,-7.460000000000006,-16.51000000000001,-15.71500000000001,-3.640298507462685,-5.6000000000000085,-9.240298507462693,-16.700298507462698,0.241
0.7,120,0,none,60,100,none,0.01,424,-4.0800497512437826,-18.99004975124378,-13.575074626865673,2.6596517412935317,-9.100000000000003,-6.4403482587064715,-10.520398009950263,0.238
0.7,120,0,none,60,100,0,0.01,418,-7.460000000000006,-16.51000000000001,-15.71500000000001,-3.640298507462685,-5.6000000000000085,-9.240298507462693,-16.700298507462698,0.241
0.7,120,0,none,60,80,-0.005,0.01,418,-9.960000000000012,-17.210000000000008,-18.565000000000015,-3.6402985074626883,-5.400000000000006,-9.040298507462694,-19.000298507462702,0.241
