enter_1,stop_drop,take_profit,entry_cap,t_enter,stop_confirm,stable,pnl,mdd,score,janfeb,mar03,sim,val,W,L,fills
0.85,0.1,0.99,0.9,180,30,30,11.51,-6.3,8.36,9.4,2.71,-0.6,2.11,43,10,106
0.85,0.12,0.99,0.9,180,30,30,11.11,-6.3,7.96,9.8,2.71,-1.4,1.31,43,10,106
0.85,0.1,0.98,0.9,180,30,30,11.06,-6.3,7.91,9.5,2.51,-0.95,1.56,43,10,106
0.85,0.12,0.98,0.9,180,30,30,10.66,-6.3,7.51,9.9,2.51,-1.75,0.76,43,10,106
0.85,0.08,0.99,0.9,180,30,30,10.21,-6.3,7.06,8.3,2.71,-0.8,1.91,42,11,106
0.85,0.08,0.98,0.9,180,30,30,9.76,-6.3,6.61,8.4,2.51,-1.15,1.36,42,11,106
0.9,0.12,0.98,0.9,450,30,60,7.15,-1.6,6.35,4.5,1.4,1.25,2.65,19,4,46
0.9,0.1,0.98,0.9,450,30,60,6.55,-2.0,5.55,3.9,1.4,1.25,2.65,19,4,46
0.85,0.12,0.99,0.9,180,20,30,8.61,-6.3,5.46,7.2,2.71,-1.3,1.41,42,11,106
0.9,0.08,0.98,0.9,450,30,60,6.35,-2.0,5.35,3.9,1.4,1.05,2.45,19,4,46
0.85,0.06,0.99,0.9,180,30,30,8.41,-6.3,5.26,6.7,2.71,-1.0,1.71,41,12,106
0.85,0.12,0.98,0.9,180,20,30,8.16,-6.3,5.01,7.3,2.51,-1.65,0.86,42,11,106
0.85,0.12,0.98,0.9,450,30,60,8.97,-8.1,4.92,6.7,3.43,-1.16,2.27,71,19,180
0.85,0.06,0.98,0.9,180,30,30,7.96,-6.3,4.81,6.8,2.51,-1.35,1.16,41,12,106
0.9,0.1,0.98,0.9,180,30,60,4.85,-0.7,4.5,4.1,0.0,0.75,0.75,9,1,20
0.9,0.12,0.98,0.9,180,30,60,4.85,-0.7,4.5,4.1,0.0,0.75,0.75,9,1,20
0.9,0.1,0.99,0.9,180,30,60,4.8,-0.7,4.45,4.2,0.0,0.6,0.6,9,1,20
0.9,0.12,0.99,0.9,180,30,60,4.8,-0.7,4.45,4.2,0.0,0.6,0.6,9,1,20
0.9,0.08,0.98,0.9,180,30,60,4.65,-0.9,4.2,4.1,0.0,0.55,0.55,9,1,20
0.9,0.1,0.98,0.9,300,30,60,4.85,-1.4,4.15,4.1,0.7,0.05,0.75,13,3,32
0.9,0.08,0.99,0.9,180,30,60,4.6,-0.9,4.15,4.2,0.0,0.4,0.4,9,1,20
0.9,0.12,0.98,0.9,300,30,60,4.85,-1.4,4.15,4.1,0.7,0.05,0.75,13,3,32
0.9,0.06,0.98,0.9,450,0,60,5.05,-2.1,4.0,3.2,1.4,0.45,1.85,16,7,46
0.9,0.08,0.98,0.9,300,30,60,4.65,-1.6,3.85,4.1,0.7,-0.15,0.55,13,3,32
0.85,0.1,0.99,0.9,180,20,30,6.91,-6.3,3.76,6.0,2.71,-1.8,0.91,41,12,106
0.9,0.06,0.98,0.9,450,30,60,4.55,-2.2,3.45,2.2,1.4,0.95,2.35,18,5,46
0.9,0.12,0.99,0.9,450,30,60,5.43,-4.0,3.43,5.0,1.6,-1.17,0.43,18,5,46
0.9,0.12,0.99,0.9,180,30,15,4.6,-2.5,3.35,1.4,0.8,2.4,3.2,18,4,44
0.9,0.08,0.99,0.9,180,30,15,4.6,-2.5,3.35,1.6,0.8,2.2,3.0,18,4,44
0.85,0.1,0.98,0.9,180,20,30,6.46,-6.3,3.31,6.1,2.51,-2.15,0.36,41,12,106
0.9,0.08,0.98,0.9,180,30,15,4.45,-2.5,3.2,1.7,0.7,2.05,2.75,18,4,44
0.9,0.12,0.98,0.9,180,30,15,4.45,-2.5,3.2,1.5,0.7,2.25,2.95,18,4,44
0.85,0.06,0.99,0.9,180,20,30,6.01,-5.9,3.06,5.1,2.71,-1.8,0.91,40,13,106
0.9,0.1,0.99,0.9,180,30,15,4.2,-2.5,2.95,1.0,0.8,2.4,3.2,18,4,44
0.9,0.06,0.98,0.9,300,0,60,3.45,-1.1,2.9,2.1,0.7,0.65,1.35,11,5,32
0.9,0.1,0.99,0.9,450,30,60,4.83,-4.0,2.83,4.4,1.6,-1.17,0.43,18,5,46
0.9,0.1,0.98,0.9,180,30,15,4.05,-2.5,2.8,1.1,0.7,2.25,2.95,18,4,44
0.9,0.06,0.98,0.9,180,30,60,3.15,-1.0,2.65,2.7,0.0,0.45,0.45,8,2,20
0.85,0.06,0.98,0.9,180,20,30,5.56,-5.9,2.61,5.2,2.51,-2.15,0.36,40,13,106
0.9,0.06,0.99,0.9,180,30,60,3.1,-1.0,2.6,2.8,0.0,0.3,0.3,8,2,20
0.9,0.08,0.99,0.9,450,30,60,4.63,-4.2,2.53,4.4,1.6,-1.37,0.23,18,5,46
0.9,0.08,0.98,0.9,450,0,60,3.65,-2.3,2.5,2.2,1.4,0.05,1.45,16,7,46
0.85,0.08,0.99,0.9,180,20,30,5.51,-6.3,2.36,5.0,2.71,-2.2,0.51,40,13,106
0.9,0.12,0.98,0.9,450,0,60,3.95,-3.2,2.35,2.9,1.4,-0.35,1.05,18,5,46
0.9,0.06,0.99,0.9,450,0,60,3.73,-2.87,2.29,3.7,1.6,-1.57,0.03,15,8,46
0.85,0.1,0.98,0.9,450,30,60,6.37,-8.4,2.17,7.8,3.63,-5.06,-1.43,69,21,180
0.85,0.12,0.98,0.9,450,30,30,7.64,-11.2,2.04,9.84,1.17,-3.37,-2.2,104,32,272
0.9,0.06,0.98,0.9,300,30,60,2.85,-1.7,2.0,2.4,0.7,-0.25,0.45,12,4,32
0.9,0.12,0.98,0.9,300,30,30,4.05,-4.1,2.0,-1.1,2.6,2.55,5.15,23,6,58
0.9,0.08,0.98,0.9,300,30,30,4.05,-4.1,2.0,-0.9,2.6,2.35,4.95,23,6,58
0.85,0.08,0.98,0.9,180,20,30,5.06,-6.3,1.91,5.1,2.51,-2.55,-0.04,40,13,106
0.85,0.12,0.98,0.95,180,30,30,4.63,-5.8,1.73,1.4,3.31,-0.08,3.23,71,16,176
0.9,0.06,0.98,0.9,180,0,60,2.15,-1.1,1.6,1.4,0.0,0.75,0.75,7,3,20
0.9,0.06,0.99,0.9,180,30,15,2.9,-2.6,1.6,-0.0,0.8,2.1,2.9,17,5,44
0.9,0.06,0.99,0.9,180,0,60,2.1,-1.1,1.55,1.5,0.0,0.6,0.6,7,3,20
0.8,0.12,0.98,0.9,450,0,15,8.06,-13.1,1.51,14.64,-0.74,-5.84,-6.58,111,73,374
0.9,0.06,0.98,0.9,180,30,15,2.75,-2.6,1.45,0.1,0.7,1.95,2.65,17,5,44
0.9,0.1,0.98,0.9,300,30,30,3.65,-4.4,1.45,-1.5,2.6,2.55,5.15,23,6,58
0.85,0.12,0.98,0.9,450,0,0,8.95,-15.41,1.24,15.31,-0.95,-5.41,-6.36,117,72,382
0.85,0.12,0.98,0.9,450,20,30,7.04,-11.7,1.19,8.14,1.37,-2.47,-1.1,103,33,272
0.9,0.08,0.98,0.9,180,0,60,1.75,-1.3,1.1,1.2,0.0,0.55,0.55,7,3,20
0.9,0.08,0.99,0.9,180,0,60,1.7,-1.3,1.05,1.3,0.0,0.4,0.4,7,3,20
0.9,0.1,0.99,0.9,300,30,60,2.7,-3.8,0.8,4.4,0.8,-2.5,-1.7,12,4,32
0.9,0.06,0.99,0.9,180,0,15,2.8,-4.0,0.8,-2.1,0.8,4.1,4.9,14,8,44
0.9,0.12,0.99,0.9,300,30,60,2.7,-3.8,0.8,4.4,0.8,-2.5,-1.7,12,4,32
0.9,0.06,0.98,0.9,300,0,30,1.65,-1.8,0.75,0.3,1.4,-0.05,1.35,17,12,58
0.9,0.06,0.99,0.9,180,0,30,1.8,-2.1,0.75,0.5,0.8,0.5,1.3,9,5,28
0.9,0.06,0.98,0.9,180,0,30,1.75,-2.1,0.7,0.4,0.7,0.65,1.35,9,5,28
0.9,0.08,0.99,0.9,450,0,60,2.33,-3.27,0.7,2.7,1.6,-1.97,-0.37,15,8,46
0.9,0.06,0.99,0.9,450,30,60,2.83,-4.3,0.68,2.7,1.6,-1.47,0.13,17,6,46
0.9,0.12,0.99,0.9,180,30,30,1.8,-2.5,0.55,2.2,0.8,-1.2,-0.4,11,3,28
0.85,0.12,0.98,0.9,450,20,60,5.67,-10.3,0.52,5.0,3.23,-2.56,0.67,70,20,180
0.9,0.08,0.99,0.9,180,30,30,1.8,-2.6,0.5,2.4,0.8,-1.4,-0.6,11,3,28
0.9,0.08,0.99,0.9,300,30,60,2.5,-4.0,0.5,4.4,0.8,-2.7,-1.9,12,4,32
0.9,0.12,0.98,0.9,180,30,30,1.75,-2.5,0.5,2.1,0.7,-1.05,-0.35,11,3,28
0.9,0.1,0.98,0.9,450,0,60,2.15,-3.4,0.45,1.1,1.4,-0.35,1.05,17,6,46
0.9,0.06,0.98,0.9,180,0,15,2.45,-4.0,0.45,-2.2,0.7,3.95,4.65,14,8,44
0.9,0.1,0.99,0.9,180,30,30,1.7,-2.5,0.45,2.1,0.8,-1.2,-0.4,11,3,28
0.9,0.08,0.98,0.9,180,30,30,1.75,-2.7,0.4,2.3,0.7,-1.25,-0.55,11,3,28
0.9,0.1,0.98,0.9,180,30,30,1.65,-2.5,0.4,2.0,0.7,-1.05,-0.35,11,3,28
0.9,0.06,0.98,0.9,450,20,60,2.05,-3.5,0.3,0.6,1.4,0.05,1.45,18,5,46
0.9,0.06,0.99,0.9,300,0,60,1.7,-2.8,0.3,2.4,0.8,-1.5,-0.7,10,6,32
0.9,0.12,0.99,0.9,180,0,15,1.7,-3.0,0.2,-1.2,0.8,2.1,2.9,16,6,44
0.9,0.08,0.99,0.9,180,0,30,1.3,-2.3,0.15,0.3,0.8,0.2,1.0,9,5,28
0.9,0.08,0.98,0.9,180,0,30,1.25,-2.3,0.1,0.2,0.7,0.35,1.05,9,5,28
0.9,0.1,0.98,0.9,300,0,30,1.55,-2.9,0.1,-2.2,2.6,1.15,3.75,20,9,58
0.9,0.12,0.98,0.9,180,0,15,1.55,-3.0,0.05,-1.1,0.7,1.95,2.65,16,6,44
0.9,0.12,0.99,0.9,450,0,60,2.63,-5.2,0.03,3.4,1.6,-2.37,-0.77,17,6,46
0.85,0.1,0.98,0.9,450,30,30,5.84,-11.7,-0.01,10.14,1.77,-6.07,-4.3,101,35,272
0.9,0.1,0.98,0.9,180,0,60,0.75,-1.8,-0.15,0.7,0.0,0.05,0.05,7,3,20
0.9,0.1,0.99,0.9,180,0,60,0.7,-1.8,-0.2,0.8,0.0,-0.1,-0.1,7,3,20
0.85,0.1,0.98,0.95,180,30,30,2.63,-5.8,-0.27,-1.2,3.31,0.52,3.83,70,17,176
0.85,0.1,0.98,0.9,180,30,60,2.06,-4.7,-0.29,2.3,1.81,-2.05,-0.24,24,8,64
0.85,0.1,0.99,0.9,180,30,60,2.01,-4.7,-0.34,2.2,1.91,-2.1,-0.19,24,8,64
0.9,0.08,0.98,0.9,300,0,30,0.85,-2.4,-0.35,-1.3,2.6,-0.45,2.15,18,11,58
0.9,0.06,0.98,0.9,300,0,15,1.06,-2.9,-0.39,-1.1,1.31,0.85,2.16,28,22,100
0.9,0.12,0.98,0.9,450,20,60,1.85,-4.5,-0.4,-0.1,1.4,0.55,1.95,18,5,46
0.9,0.12,0.98,0.9,180,0,60,0.45,-2.1,-0.6,0.4,0.0,0.05,0.05,7,3,20
0.9,0.08,0.98,0.9,450,20,60,1.45,-4.1,-0.6,-0.0,1.4,0.05,1.45,18,5,46
0.9,0.12,0.99,0.9,180,0,60,0.4,-2.1,-0.65,0.5,0.0,-0.1,-0.1,7,3,20
0.9,0.08,0.98,0.9,300,0,60,0.55,-2.7,-0.8,1.1,0.7,-1.25,-0.55,11,5,32
0.9,0.08,0.99,0.9,180,0,15,1.5,-4.6,-0.8,-3.1,0.8,3.8,4.6,14,8,44
0.9,0.08,0.98,0.9,180,30,0,2.25,-6.2,-0.85,1.3,1.2,-0.25,0.95,51,15,132
