cap,ma_len,tick_confirm,tp_abs,cooldown_sec,no_entry_last_sec,entry_slope_max,haircut,trades,train_pnl,train_mdd,train_score,mar03_pnl,sim_pnl,val_pnl,total_pnl,sell_fail_rate
0.45,240,0,0.98,30,none,none,0.01,384,-9.090049751243795,-11.390049751243788,-14.78507462686569,-5.070149253731342,-15.440000000000003,-20.510149253731345,-29.600199004975142,0.226
0.45,240,0,0.98,30,none,0,0.01,358,-3.3100995024875832,-16.110000000000007,-11.365099502487586,-7.020398009950252,-5.439999999999998,-12.46039800995025,-15.77049751243783,0.221
0.45,240,0,none,30,none,-0.005,0.01,350,0.19995024875621326,-14.790000000000003,-7.195049751243788,-7.140298507462688,-6.150000000000011,-13.2902985074627,-13.090348258706488,0.228
0.45,240,0,none,30,none,-0.01,0.01,342,-0.9600497512437869,-14.790000000000003,-8.355049751243788,-7.140298507462689,1.6499999999999977,-5.4902985074626915,-6.45034825870648,0.224
0.45,240,0,0.98,0,none,-0.005,0.01,1142,-23.290049751243828,-41.69004975124382,-44.13507462686574,-19.140796019900517,6.440000000000033,-12.700796019900483,-35.99084577114431,0.213
0.45,240,0,0.98,0,none,-0.01,0.01,1048,-12.040199004975157,-33.73000000000001,-28.905199004975163,-18.43084577114427,12.640000000000018,-5.790845771144252,-17.831044776119413,0.219
0.45,240,0,0.98,30,none,-0.005,0.01,350,-1.770049751243799,-15.93000000000001,-9.735049751243803,-7.630348258706471,-5.2500000000000036,-12.880348258706475,-14.650398009950276,0.223
0.45,240,0,0.98,30,none,-0.01,0.01,342,-0.8300497512437879,-14.39,-8.025049751243788,-7.140298507462689,0.9500000000000046,-6.190298507462685,-7.020348258706474,0.227
0.45,240,0,none,0,none,-0.005,0.01,1148,-27.800099651137604,-42.2800996511376,-48.9401494767064,-20.0308457711443,6.460000000000008,-13.570845771144292,-41.3709454222819,0.215
0.45,240,0,none,0,none,-0.01,0.01,1038,-14.87014940238138,-33.63000000000002,-31.685149402381388,-17.710945273631836,12.230000000000032,-5.480945273631804,-20.35109467601318,0.219
0.45,240,0,none,0,none,none,0.01,1738,-32.49009965113761,-52.030099651137576,-58.5051494767064,-27.821393034825874,-3.9600000000000506,-31.781393034825925,-64.27149268596355,0.216
0.45,240,0,none,0,none,0,0.01,1242,-28.68009965113759,-40.90009965113758,-49.13014947670638,-18.2810945273632,-0.8600000000000776,-19.14109452736328,-47.82119417850086,0.217
0.45,240,0,none,30,none,none,0.01,384,-8.210049751243794,-10.600000000000001,-13.510049751243795,-5.070149253731341,-14.839999999999995,-19.910149253731333,-28.120199004975127,0.228
0.45,240,0,none,30,none,0,0.01,358,-2.5500497512437956,-15.210000000000008,-10.1550497512438,-7.340298507462691,-5.639999999999997,-12.980298507462688,-15.530348258706482,0.227
0.45,240,0,0.98,0,none,none,0.01,1732,-25.020149253731432,-50.220149253731385,-50.13022388059713,-26.121393034825864,-5.950000000000074,-32.07139303482594,-57.091542288557385,0.213
0.45,240,0,0.98,0,none,0,0.01,1246,-24.550149253731377,-40.79014925373137,-44.94522388059706,-22.510945273631865,2.549999999999983,-19.960945273631882,-44.51109452736327,0.22
0.45,240,0,0.99,30,none,none,0.01,384,-8.700049751243794,-11.200049751243787,-14.300074626865687,-5.070149253731339,-15.44,-20.51014925373134,-29.210199004975134,0.226
0.45,240,0,0.99,30,none,0,0.01,358,-3.1300497512437975,-16.21000000000001,-11.235049751243803,-7.230348258706471,-6.739999999999986,-13.970348258706457,-17.100398009950258,0.222
0.45,240,2,none,30,none,none,0.01,386,-15.740099502487565,-15.740099502487565,-23.610149253731347,-5.240298507462681,-18.24000000000002,-23.4802985074627,-39.220398009950266,0.228
0.45,240,2,none,30,none,0,0.01,364,-2.370049751243789,-12.370000000000005,-8.555049751243791,-5.650248756218906,-0.24000000000001265,-5.890248756218918,-8.260298507462704,0.228
0.45,240,0,0.99,0,none,-0.005,0.01,1146,-27.6000497512438,-41.4000497512438,-48.3000746268657,-19.040796019900508,5.340000000000032,-13.700796019900476,-41.30084577114428,0.212
0.45,240,0,0.99,0,none,-0.01,0.01,1032,-14.580049751243815,-32.93000000000002,-31.045049751243823,-17.020895522388045,12.740000000000016,-4.280895522388029,-18.86094527363184,0.221
0.45,240,0,0.99,0,none,none,0.01,1734,-21.5400995024876,-48.24009950248758,-45.66014925373139,-29.341293532338312,-9.150000000000162,-38.491293532338474,-60.03139303482605,0.213
0.45,240,0,0.99,0,none,0,0.01,1250,-33.040248756218936,-44.68024875621893,-55.3803731343284,-17.710945273631864,-0.6500000000001052,-18.36094527363197,-51.40119402985092,0.22
0.45,240,0,0.99,30,none,-0.005,0.01,350,-1.2800497512437872,-15.830000000000005,-9.19504975124379,-7.630348258706469,-5.150000000000006,-12.780348258706475,-14.060398009950262,0.223
0.45,240,0,0.99,30,none,-0.01,0.01,342,-0.34004975124378234,-14.29,-7.485049751243782,-7.14029850746269,1.1500000000000012,-5.990298507462689,-6.33034825870647,0.227
0.45,240,2,none,30,none,-0.005,0.01,354,4.399950248756212,-11.39,-1.2950497512437886,-5.560199004975125,0.5499999999999927,-5.010199004975132,-0.6102487562189172,0.224
0.45,240,2,none,30,none,-0.01,0.01,344,5.269950248756207,-10.300000000000004,0.11995024875620519,-5.560199004975125,-0.7500000000000036,-6.310199004975129,-1.0402487562189204,0.218
0.45,240,2,none,0,none,none,0.01,1692,-51.81009970068764,-63.61009970068764,-83.61514955103146,-29.30149253731347,-2.9100000000000676,-32.21149253731354,-84.02159223800118,0.218
0.45,240,2,none,0,none,0,0.01,1222,-24.87004994944389,-41.7800499494439,-45.760074924165835,-16.840796019900523,6.489999999999974,-10.35079601990055,-35.22084596934445,0.215
0.45,240,2,none,0,none,-0.005,0.01,1126,-22.620049949443896,-40.450049949443894,-42.84507492416584,-16.420895522388076,3.4799999999999827,-12.940895522388093,-35.560945471832,0.218
0.45,240,2,none,0,none,-0.01,0.01,1012,-9.850099700687688,-34.11000000000003,-26.9050997006877,-15.410945273631837,9.979999999999999,-5.430945273631838,-15.281044974319528,0.22
0.45,240,2,0.98,30,none,none,0.01,386,-15.430049751243788,-15.430049751243786,-23.14507462686568,-5.350248756218896,-18.640000000000015,-23.99024875621891,-39.4202985074627,0.224
0.45,240,2,0.98,30,none,0,0.01,364,-2.920099502487578,-12.170000000000009,-9.005099502487582,-5.560199004975126,-0.24000000000001265,-5.800199004975139,-8.720298507462719,0.224
0.45,240,2,0.98,0,none,none,0.01,1694,-57.46004975124373,-68.20004975124374,-91.5600746268656,-29.471641791044746,-1.6000000000001364,-31.071641791044883,-88.5316915422886,0.216
0.45,240,2,0.98,0,none,0,0.01,1226,-20.73009950248762,-37.57009950248761,-39.51514925373142,-17.1910447761194,5.100000000000001,-12.0910447761194,-32.82114427860702,0.222
0.45,240,2,0.98,30,none,-0.005,0.01,354,3.239950248756207,-11.690000000000005,-2.6050497512437953,-5.650248756218906,0.5499999999999883,-5.100248756218917,-1.8602985074627032,0.223
0.45,240,2,0.98,30,none,-0.01,0.01,344,4.909950248756209,-9.800000000000004,0.009950248756206648,-5.560199004975124,-0.850000000000005,-6.410199004975129,-1.5002487562189177,0.228
0.45,240,2,0.99,30,none,none,0.01,386,-15.740049751243786,-15.740049751243784,-23.61007462686568,-5.140298507462681,-17.440000000000015,-22.580298507462697,-38.320348258706474,0.226
0.45,240,2,0.99,30,none,0,0.01,364,-2.3300995024875735,-12.070000000000007,-8.365099502487578,-5.560199004975127,-0.14000000000000767,-5.7001990049751345,-8.030298507462714,0.224
0.45,240,2,0.98,0,none,-0.005,0.01,1122,-21.09004975124381,-40.860000000000014,-41.52004975124382,-17.82089552238808,5.089999999999989,-12.730895522388092,-33.82094527363191,0.214
0.45,240,2,0.98,0,none,-0.01,0.01,1020,-8.74000000000005,-33.60000000000002,-25.540000000000063,-17.510945273631847,8.989999999999998,-8.520945273631849,-17.260945273631897,0.22
0.45,240,2,0.99,0,none,none,0.01,1696,-57.77004975124373,-69.01004975124374,-92.2750746268656,-28.60149253731346,-4.700000000000159,-33.30149253731362,-91.07154228855734,0.216
0.45,240,2,0.99,0,none,0,0.01,1228,-23.240099502487613,-39.68009950248761,-43.08014925373142,-19.050746268656745,5.6000000000000085,-13.450746268656737,-36.69084577114435,0.216
0.45,240,2,0.99,30,none,-0.005,0.01,354,3.8299502487562105,-11.590000000000005,-1.965049751243792,-5.650248756218906,0.649999999999995,-5.000248756218911,-1.1702985074626966,0.223
0.45,240,2,0.99,30,none,-0.01,0.01,344,5.499950248756224,-9.700000000000001,0.6499502487562232,-5.560199004975125,-0.7500000000000036,-6.310199004975129,-0.8102487562189049,0.228
0.45,240,2,0.99,0,none,-0.005,0.01,1122,-21.90004975124379,-40.660000000000004,-42.2300497512438,-17.3308457711443,1.8900000000000006,-15.4408457711443,-37.34089552238808,0.214
0.45,240,2,0.99,0,none,-0.01,0.01,1020,-9.450000000000037,-33.40000000000003,-26.15000000000005,-18.81094527363184,6.9900000000000055,-11.820945273631835,-21.27094527363188,0.221
0.45,300,0,none,30,none,none,0.01,334,0.03995024875620845,-10.790049751243789,-5.355074626865686,-4.750248756218905,-15.240000000000002,-19.990248756218907,-19.950298507462698,0.213
0.45,300,0,none,30,none,0,0.01,296,-15.540099502487568,-15.540099502487568,-23.310149253731353,-3.4900497512437845,1.88999999999999,-1.6000497512437946,-17.140149253731362,0.215
0.45,300,0,none,0,none,none,0.01,1314,-9.480099651137596,-38.08009965113759,-28.52014947670639,-23.480597014925372,10.949999999999946,-12.530597014925426,-22.01069666606302,0.221
0.45,300,0,none,0,none,0,0.01,874,14.55990034886241,-18.100000000000005,5.509900348862407,-16.12039800995025,6.990000000000003,-9.130398009950248,5.429502338912161,0.225
0.45,300,0,0.98,30,none,none,0.01,334,-2.8201492537313513,-10.980099502487565,-8.310199004975134,-5.17014925373134,-15.34,-20.510149253731342,-23.330298507462693,0.224
0.45,300,0,0.98,30,none,0,0.01,296,-15.040049751243787,-15.040049751243789,-22.56007462686568,-2.8701492537313413,1.5999999999999908,-1.2701492537313506,-16.310199004975136,0.208
0.45,300,0,none,0,none,-0.005,0.01,796,14.249900348862406,-18.400000000000006,5.049900348862403,-11.510447761194033,12.840000000000003,1.3295522388059702,15.579452587668378,0.231
0.45,300,0,none,0,none,-0.01,0.01,728,15.749950100106188,-15.970000000000004,7.764950100106186,-16.420398009950254,15.440000000000005,-0.9803980099502496,14.769552090155926,0.227
0.45,300,0,none,30,none,-0.005,0.01,288,-13.670099502487567,-13.980000000000006,-20.66009950248757,-4.890049751243787,0.639999999999997,-4.25004975124379,-17.920149253731353,0.208
0.45,300,0,none,30,none,-0.01,0.01,284,-7.670099502487569,-12.880099502487564,-14.11014925373135,-3.580099502487559,1.0399999999999938,-2.540099502487565,-10.210199004975138,0.212
0.45,300,0,0.98,0,none,none,0.01,1312,-21.45004975124384,-40.09004975124381,-41.495074626865744,-23.9905472636816,5.860000000000014,-18.130547263681585,-39.58059701492542,0.223
0.45,300,0,0.98,0,none,0,0.01,880,18.77990049751242,-18.700000000000006,9.429900497512415,-16.290547263681592,13.860000000000007,-2.4305472636815857,16.349353233830836,0.227
0.45,300,0,0.98,30,none,-0.005,0.01,288,-14.450149253731347,-14.780000000000005,-21.840149253731347,-3.580099502487567,0.14999999999998437,-3.4300995024875824,-17.880248756218933,0.21
0.45,300,0,0.98,30,none,-0.01,0.01,284,-11.250149253731351,-13.580099502487565,-18.040199004975133,-3.780099502487566,0.44999999999997975,-3.3300995024875863,-14.580248756218941,0.213
0.45,300,0,0.98,0,none,-0.005,0.01,802,16.369900497512408,-17.30000000000001,7.719900497512402,-16.12039800995025,10.649999999999997,-5.470398009950253,10.899502487562154,0.22
0.45,300,0,0.98,0,none,-0.01,0.01,736,21.079900497512405,-16.77,12.694900497512405,-14.820398009950248,17.550000000000015,2.7296019900497672,23.80950248756218,0.231
0.45,300,0,0.99,0,none,none,0.01,1312,-21.7600497512438,-40.30004975124379,-41.91007462686569,-22.080597014925374,2.259999999999998,-19.820597014925376,-41.58064676616919,0.224
0.45,300,0,0.99,0,none,0,0.01,878,18.069900497512428,-17.10000000000001,9.519900497512424,-17.720398009950255,4.96,-12.760398009950254,5.30950248756217,0.226
0.45,300,0,0.99,0,none,-0.005,0.01,806,11.05990049751243,-16.099999999999998,3.0099004975124313,-16.02039800995025,8.549999999999995,-7.470398009950253,3.5895024875621853,0.221
0.45,300,0,0.99,0,none,-0.01,0.01,732,15.859950248756192,-16.770000000000003,7.4749502487561905,-14.32039800995025,13.150000000000013,-1.1703980099502367,14.689552238805952,0.232
0.45,300,0,0.99,30,none,-0.005,0.01,288,-14.060149253731346,-14.680000000000003,-21.40014925373135,-3.580099502487574,0.3499999999999872,-3.2300995024875867,-17.290248756218936,0.21
0.45,300,0,0.99,30,none,-0.01,0.01,284,-10.860149253731347,-13.580099502487565,-17.65019900497513,-3.7800995024875625,0.6499999999999826,-3.13009950248758,-13.99024875621893,0.213
0.45,300,0,0.99,30,none,none,0.01,334,-2.3301492537313457,-10.980099502487565,-7.820199004975128,-5.17014925373134,-15.239999999999995,-20.410149253731333,-22.740298507462683,0.224
