enter_1,stop_drop,take_profit,entry_cap,pnl,mdd,score,janfeb,mar03,W,L,fills
0.8,0.06,0.99,0.9,28.5,-11.7,22.65,24.15,4.35,78,78,340
0.8,0.06,0.98,0.9,27.19,-12.68,20.85,24.45,2.74,80,76,338
0.8,0.04,0.99,0.9,21.21,-10.9,15.76,20.25,0.96,63,93,340
0.8,0.04,0.98,0.9,20.11,-11.4,14.41,19.65,0.46,65,91,340
0.8,0.06,0.96,0.9,17.47,-11.18,11.88,15.51,1.96,81,75,334
0.8,0.08,0.98,0.9,19.12,-14.79,11.72,17.06,2.06,84,72,338
0.8,0.06,0.99,0.95,19.77,-16.68,11.43,18.34,1.43,90,87,382
0.85,0.1,0.99,0.95,14.25,-8.5,10.0,16.04,-1.79,102,65,340
0.8,0.06,0.98,0.95,18.56,-17.17,9.97,19.43,-0.87,92,85,380
0.8,0.08,0.99,0.9,17.41,-15.67,9.57,13.76,3.65,81,75,340
0.85,0.1,0.98,0.95,12.07,-7.1,8.52,14.56,-2.49,105,63,340
0.85,0.1,0.98,0.9,11.19,-9.8,6.29,13.14,-1.95,86,61,298
0.8,0.04,0.96,0.9,11.37,-13.38,4.68,10.02,1.35,65,91,338
0.85,0.1,0.99,0.9,10.23,-12.0,4.23,11.48,-1.25,83,64,298
0.8,0.08,0.99,0.95,13.08,-18.89,3.63,13.97,-0.89,96,81,382
0.8,0.08,0.98,0.95,12.87,-18.49,3.62,12.66,0.21,100,77,380
0.8,0.08,0.96,0.9,11.08,-15.05,3.55,10.83,0.25,86,70,332
0.8,0.1,0.98,0.9,9.31,-14.4,2.11,8.25,1.06,87,69,338
0.8,0.04,0.99,0.95,10.69,-17.77,1.8,14.27,-3.58,72,105,382
0.8,0.1,0.99,0.9,7.9,-15.2,0.3,6.55,1.35,85,71,340
0.8,0.04,0.98,0.95,9.28,-18.77,-0.11,13.06,-3.78,75,102,382
0.85,0.1,0.96,0.9,4.76,-9.8,-0.14,8.11,-3.35,90,57,298
0.8,0.1,0.99,0.95,4.84,-17.0,-3.66,4.52,0.32,103,74,382
0.8,0.1,0.96,0.9,3.07,-14.06,-3.96,5.22,-2.15,91,65,332
0.85,0.06,0.99,0.9,2.04,-13.99,-4.96,3.8,-1.76,65,82,298
0.85,0.06,0.98,0.9,1.18,-13.7,-5.67,3.54,-2.36,67,80,298
0.8,0.1,0.98,0.95,3.52,-18.78,-5.87,4.61,-1.09,106,71,380
0.8,0.06,0.96,0.95,3.83,-19.77,-6.06,3.31,0.52,86,81,376
0.85,0.08,0.99,0.9,-0.87,-11.41,-6.58,1.98,-2.85,72,75,298
0.75,0.04,0.99,0.9,-0.95,-11.67,-6.79,-1.61,0.66,59,100,398
0.8,0.08,0.96,0.95,2.52,-18.88,-6.92,3.31,-0.79,92,74,376
0.85,0.08,0.98,0.9,-1.71,-11.45,-7.44,1.74,-3.45,74,73,298
0.85,0.1,0.96,0.95,-1.49,-13.09,-8.04,2.6,-4.09,97,59,338
0.8,0.04,0.96,0.95,1.23,-20.27,-8.91,4.51,-3.28,70,97,378
0.85,0.06,0.99,0.95,-2.97,-12.47,-9.21,3.38,-6.35,78,90,340
0.85,0.08,0.99,0.95,-2.8,-13.23,-9.42,2.69,-5.49,88,80,340
0.8,0.1,0.96,0.95,-1.12,-18.08,-10.16,1.17,-2.29,97,69,374
0.75,0.04,0.98,0.9,-3.72,-13.06,-10.25,-2.49,-1.23,59,100,396
0.75,0.06,0.98,0.9,-3.39,-15.55,-11.17,-1.54,-1.85,73,86,392
0.85,0.06,0.96,0.9,-4.05,-14.4,-11.25,-0.49,-3.56,72,75,298
0.85,0.06,0.98,0.95,-5.27,-12.55,-11.55,1.38,-6.65,80,88,340
0.85,0.08,0.98,0.95,-5.48,-13.29,-12.13,0.41,-5.89,90,78,340
0.85,0.08,0.96,0.9,-5.24,-13.85,-12.17,-0.59,-4.65,80,67,298
0.85,0.08,0.96,0.95,-6.19,-13.69,-13.04,-1.3,-4.89,87,69,338
0.75,0.06,0.99,0.9,-5.92,-16.16,-14.0,-6.18,0.26,71,88,394
0.75,0.06,0.96,0.9,-7.41,-13.83,-14.33,-5.27,-2.14,75,84,388
0.85,0.04,0.99,0.9,-9.44,-17.67,-18.28,-6.6,-2.84,50,97,298
0.75,0.04,0.99,0.95,-10.19,-16.75,-18.57,-6.44,-3.75,69,111,440
0.75,0.04,0.96,0.95,-11.45,-14.37,-18.64,-9.58,-1.87,70,100,434
0.75,0.04,0.96,0.9,-11.11,-15.42,-18.82,-9.78,-1.33,60,99,394
0.85,0.04,0.98,0.9,-10.3,-17.14,-18.87,-7.06,-3.24,52,95,298
0.75,0.04,0.98,0.95,-11.2,-17.35,-19.88,-7.15,-4.05,72,108,440
0.85,0.04,0.99,0.95,-11.26,-19.89,-21.21,-5.59,-5.67,64,104,340
0.85,0.04,0.96,0.9,-13.24,-18.14,-22.31,-9.2,-4.04,56,91,298
0.85,0.04,0.98,0.95,-13.26,-19.47,-23.0,-7.39,-5.87,66,102,340
0.75,0.06,0.99,0.95,-12.92,-20.17,-23.01,-9.35,-3.57,82,97,436
0.75,0.06,0.98,0.95,-13.6,-20.32,-23.76,-6.36,-7.24,84,95,434
0.85,0.06,0.96,0.95,-14.87,-19.17,-24.46,-9.5,-5.37,75,83,338
0.85,0.04,0.96,0.95,-16.26,-20.06,-26.29,-11.5,-4.76,65,93,338
0.75,0.06,0.96,0.95,-17.85,-20.35,-28.03,-13.28,-4.57,79,91,430
0.75,0.08,0.98,0.9,-15.38,-25.72,-28.24,-12.35,-3.03,75,84,388
0.75,0.08,0.99,0.9,-16.5,-24.52,-28.76,-14.17,-2.33,73,86,388
0.75,0.08,0.96,0.9,-19.51,-24.02,-31.52,-14.68,-4.83,77,82,380
0.75,0.08,0.99,0.95,-21.68,-24.88,-34.12,-15.72,-5.96,88,92,432
0.75,0.08,0.98,0.95,-22.31,-25.66,-35.14,-15.45,-6.86,91,89,430
0.75,0.1,0.99,0.95,-30.4,-32.41,-46.61,-26.23,-4.17,94,86,426
0.75,0.08,0.96,0.95,-30.99,-31.39,-46.69,-23.91,-7.08,83,85,424
0.75,0.1,0.98,0.95,-31.91,-33.51,-48.67,-26.94,-4.97,97,83,426
0.75,0.1,0.98,0.9,-32.29,-33.91,-49.25,-29.45,-2.84,76,83,382
0.75,0.1,0.99,0.9,-32.51,-34.53,-49.78,-30.47,-2.04,74,85,382
0.75,0.1,0.96,0.9,-35.61,-36.64,-53.93,-31.08,-4.53,80,79,374
0.75,0.1,0.96,0.95,-41.12,-41.82,-62.03,-35.45,-5.67,88,80,422
