ts,type,slug,tick,data
1767442015.183432,slug_init,btc-updown-15m-1767441600,,"{""type"": ""slug_init"", ""slug"": ""btc-updown-15m-1767441600"", ""observed_slugs"": 1}"
1767442015.185126,tick,btc-updown-15m-1767441600,0,"{""type"": ""tick"", ""tick"": 0, ""slug"": ""btc-updown-15m-1767441600""}"
1767442017.9817753,quote,btc-updown-15m-1767441600,0,"{""type"": ""quote"", ""tick"": 0, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.07"", ""ask"": ""0.1""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.9"", ""ask"": ""0.93""}}}"
1767442018.9931931,tick,btc-updown-15m-1767441600,1,"{""type"": ""tick"", ""tick"": 1, ""slug"": ""btc-updown-15m-1767441600""}"
1767442020.5412488,quote,btc-updown-15m-1767441600,1,"{""type"": ""quote"", ""tick"": 1, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.07"", ""ask"": ""0.09""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.92"", ""ask"": ""0.93""}}}"
1767442021.5436482,tick,btc-updown-15m-1767441600,2,"{""type"": ""tick"", ""tick"": 2, ""slug"": ""btc-updown-15m-1767441600""}"
1767442022.9371786,quote,btc-updown-15m-1767441600,2,"{""type"": ""quote"", ""tick"": 2, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.07"", ""ask"": ""0.08""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.92"", ""ask"": ""0.93""}}}"
1767442023.9395282,tick,btc-updown-15m-1767441600,3,"{""type"": ""tick"", ""tick"": 3, ""slug"": ""btc-updown-15m-1767441600""}"
1767442025.355013,quote,btc-updown-15m-1767441600,3,"{""type"": ""quote"", ""tick"": 3, ""slug"": ""btc-updown-15m-1767441600"", ""quote"": {""slug"": ""btc-updown-15m-1767441600"", ""up"": {""outcome"": ""Up"", ""token_id"": ""31771659711309440420528715902771338396283142928977317306660104288685767758994"", ""bid"": ""0.07"", ""ask"": ""0.08""}, ""down"": {""outcome"": ""Down"", ""token_id"": ""43412965621229333137920329188232417097682999393577317847987224047222897440115"", ""bid"": ""0.92"", ""ask"": ""0.93""}}}"
1767442026.3576314,tick,btc-updown-15m-1767441600,4,"{""type"": ""tick"", ""tick"": 4, ""slug"": ""btc-updown-15m-1767441600""}"
